"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Login success with valid credentials","webkit","Thu Mar 12 05:06:46 UTC 2026","failed","Thu Mar 12 05:06:46 UTC 2026","Login","","",""
"","3842","login without username and password","firefox","Thu Mar 12 05:06:22 UTC 2026","passed","Thu Mar 12 05:06:25 UTC 2026","Login","","",""
"","4524","Failed login with valid username and invalid password","firefox","Thu Mar 12 05:06:31 UTC 2026","passed","Thu Mar 12 05:06:36 UTC 2026","Login","","",""
"","19","login without username and password","webkit","Thu Mar 12 05:06:42 UTC 2026","failed","Thu Mar 12 05:06:42 UTC 2026","Login","","",""
"","18","Failed login with only password","webkit","Thu Mar 12 05:06:44 UTC 2026","failed","Thu Mar 12 05:06:44 UTC 2026","Login","","",""
"","4680","Login success with valid credentials","chromium","Thu Mar 12 05:06:36 UTC 2026","passed","Thu Mar 12 05:06:41 UTC 2026","Login","","",""
"","19","Failed login with valid username and invalid password","webkit","Thu Mar 12 05:06:45 UTC 2026","failed","Thu Mar 12 05:06:45 UTC 2026","Login","","",""
"","5020","Login success with valid credentials","firefox","Thu Mar 12 05:06:36 UTC 2026","passed","Thu Mar 12 05:06:41 UTC 2026","Login","","",""
"","19","Failed login with invalid username","webkit","Thu Mar 12 05:06:43 UTC 2026","failed","Thu Mar 12 05:06:43 UTC 2026","Login","","",""
"","2621","Failed login with invalid username","firefox","Thu Mar 12 05:06:26 UTC 2026","passed","Thu Mar 12 05:06:29 UTC 2026","Login","","",""
"","2760","Failed login with only password","firefox","Thu Mar 12 05:06:29 UTC 2026","passed","Thu Mar 12 05:06:31 UTC 2026","Login","","",""
"","2790","Failed login with invalid username","chromium","Thu Mar 12 05:06:26 UTC 2026","passed","Thu Mar 12 05:06:29 UTC 2026","Login","","",""
"","2704","Failed login with only password","chromium","Thu Mar 12 05:06:29 UTC 2026","passed","Thu Mar 12 05:06:32 UTC 2026","Login","","",""
"","3131","login without username and password","chromium","Thu Mar 12 05:06:22 UTC 2026","passed","Thu Mar 12 05:06:25 UTC 2026","Login","","",""
"","4704","Failed login with valid username and invalid password","chromium","Thu Mar 12 05:06:32 UTC 2026","passed","Thu Mar 12 05:06:36 UTC 2026","Login","","",""
