"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Failed login with valid username and invalid password","webkit","2026-03-13","failed","2026-03-13","Login","","",""
"","1565","Failed login with only password","firefox","2026-03-13","passed","2026-03-13","Login","","",""
"","3538","Login success with valid credentials","firefox","2026-03-13","passed","2026-03-13","Login","","",""
"","2812","Failed login with valid username and invalid password","chromium","2026-03-13","passed","2026-03-13","Login","","",""
"","19","Login success with valid credentials","webkit","2026-03-13","failed","2026-03-13","Login","","",""
"","2657","login without username and password","firefox","2026-03-13","passed","2026-03-13","Login","","",""
"","3027","Login success with valid credentials","chromium","2026-03-13","passed","2026-03-13","Login","","",""
"","1460","Failed login with only password","chromium","2026-03-13","passed","2026-03-13","Login","","",""
"","1579","Failed login with invalid username","chromium","2026-03-13","passed","2026-03-13","Login","","",""
"","19","login without username and password","webkit","2026-03-13","failed","2026-03-13","Login","","",""
"","1704","Failed login with invalid username","firefox","2026-03-13","passed","2026-03-13","Login","","",""
"","1860","login without username and password","chromium","2026-03-13","passed","2026-03-13","Login","","",""
"","20","Failed login with only password","webkit","2026-03-13","failed","2026-03-13","Login","","",""
"","29","Failed login with invalid username","webkit","2026-03-13","failed","2026-03-13","Login","","",""
"","3486","Failed login with valid username and invalid password","firefox","2026-03-13","passed","2026-03-13","Login","","",""
